accept_rate,beta,log_marginal_likelihood
0.21195,0.030059814453125,
0.15369230769230768,0.0861497251316905,
0.11921428571428572,0.1395766824966742,
0.10292857142857142,0.20149048949549553,
0.10983333333333334,0.31301915543010095,
0.08078846153846155,0.5005186743486669,
0.05515625,0.7820375072163123,
0.04503571428571428,1,-134.17303293649223
0.2152,0.02874755859375,
0.15795833333333334,0.08735634433105588,
0.11845833333333333,0.14114361022152622,
0.10539285714285715,0.20740167489624722,
0.10833928571428571,0.32529258647457326,
0.08190384615384616,0.5297246437896889,
0.05211764705882353,0.8328612498247494,
0.04591666666666667,1,-134.20432990478938
0.20420833333333333,0.028656005859375,
0.14647916666666666,0.08242458174936473,
0.11414285714285714,0.13652609768481128,
0.09076785714285714,0.1993944570295818,
0.09490384615384616,0.31319615623282077,
0.07853846153846154,0.5165309701634959,
0.05123076923076923,0.8160497415684735,
0.043484375,1,-134.27831273135232
0.21265,0.031982421875,
0.15395833333333334,0.09118570946156979,
0.11363461538461539,0.14547693623103441,
0.1009,0.21160883930763463,
0.10298333333333333,0.3322248202991546,
0.0772,0.5359124505836634,
0.0503125,0.8338413989329105,
0.04228125,1,-134.39514898830168
